[2016-05-30 16:18:52] my_logger.INFO: places answer page [] []
[2016-05-30 16:19:00] my_logger.INFO: places answer page [] []
[2016-05-30 16:19:17] my_logger.INFO: places answer page [] []
[2016-05-30 16:19:22] my_logger.INFO: home page loaded [] []
[2016-05-30 16:19:29] my_logger.INFO: places answer page [] []
[2016-05-30 16:19:51] my_logger.INFO: home page loaded [] []
[2016-05-30 16:19:55] my_logger.INFO: places answer page [] []
[2016-05-30 16:20:19] my_logger.INFO: home page loaded [] []
[2016-05-30 16:20:23] my_logger.INFO: places answer page [] []
[2016-05-30 16:22:25] my_logger.INFO: home page loaded [] []
[2016-05-30 16:22:29] my_logger.INFO: places answer page [] []
[2016-05-30 16:26:05] my_logger.INFO: places answer page [] []
[2016-05-30 16:26:11] my_logger.INFO: home page loaded [] []
[2016-05-30 16:26:14] my_logger.INFO: places answer page [] []
[2016-05-30 16:26:24] my_logger.INFO: places answer page [] []
[2016-05-30 16:28:11] my_logger.INFO: places answer page [] []
[2016-05-30 16:30:06] my_logger.INFO: home page loaded [] []
[2016-05-30 16:30:12] my_logger.INFO: places answer page [] []
[2016-05-30 16:32:03] my_logger.INFO: places answer page [] []
[2016-05-30 16:33:11] my_logger.INFO: home page loaded [] []
[2016-05-30 16:33:14] my_logger.INFO: places answer page [] []
[2016-05-30 16:33:34] my_logger.INFO: home page loaded [] []
[2016-05-30 16:33:39] my_logger.INFO: home page loaded [] []
[2016-05-30 16:33:42] my_logger.INFO: places answer page [] []
[2016-05-30 16:34:09] my_logger.INFO: places answer page [] []
[2016-05-30 16:35:10] my_logger.INFO: home page loaded [] []
[2016-05-30 16:35:18] my_logger.INFO: places answer page [] []
[2016-05-30 16:35:44] my_logger.INFO: places answer page [] []
[2016-05-30 16:36:14] my_logger.INFO: home page loaded [] []
[2016-05-30 16:36:17] my_logger.INFO: places answer page [] []
[2016-05-30 17:09:40] my_logger.INFO: places answer page [] []
[2016-05-30 17:11:25] my_logger.INFO: places answer page [] []
[2016-05-30 17:13:01] my_logger.INFO: places answer page [] []
[2016-05-30 17:14:14] my_logger.INFO: places answer page [] []
[2016-05-30 17:14:37] my_logger.INFO: places answer page [] []
[2016-05-30 17:14:42] my_logger.INFO: home page loaded [] []
[2016-05-30 17:14:45] my_logger.INFO: places answer page [] []
[2016-05-30 17:15:10] my_logger.INFO: home page loaded [] []
[2016-05-30 17:15:13] my_logger.INFO: places answer page [] []
[2016-05-30 17:18:57] my_logger.INFO: places answer page [] []
[2016-05-30 17:19:28] my_logger.INFO: home page loaded [] []
[2016-05-30 17:20:00] my_logger.INFO: home page loaded [] []
[2016-05-30 17:20:03] my_logger.INFO: places answer page [] []
[2016-05-30 17:20:24] my_logger.INFO: places answer page [] []
[2016-05-30 17:20:50] my_logger.INFO: home page loaded [] []
[2016-05-30 17:20:51] my_logger.INFO: home page loaded [] []
[2016-05-30 17:21:20] my_logger.INFO: home page loaded [] []
[2016-05-30 17:21:20] my_logger.INFO: home page loaded [] []
[2016-05-30 17:21:20] my_logger.INFO: home page loaded [] []
[2016-05-30 17:21:33] my_logger.INFO: home page loaded [] []
[2016-05-30 17:21:36] my_logger.INFO: places answer page [] []
[2016-05-30 17:21:43] my_logger.INFO: places answer page [] []
[2016-05-30 17:23:18] my_logger.INFO: home page loaded [] []
[2016-05-30 17:23:21] my_logger.INFO: places answer page [] []
[2016-05-30 17:23:56] my_logger.INFO: home page loaded [] []
[2016-05-30 17:24:00] my_logger.INFO: places answer page [] []
[2016-05-30 17:24:21] my_logger.INFO: home page loaded [] []
[2016-05-30 17:24:24] my_logger.INFO: places answer page [] []
[2016-05-30 17:25:06] my_logger.INFO: home page loaded [] []
[2016-05-30 17:25:12] my_logger.INFO: places answer page [] []
[2016-05-30 17:25:44] my_logger.INFO: home page loaded [] []
[2016-05-30 17:25:48] my_logger.INFO: places answer page [] []
[2016-05-30 17:25:49] my_logger.INFO: places answer page [] []
[2016-05-30 17:26:35] my_logger.INFO: home page loaded [] []
[2016-05-30 17:26:38] my_logger.INFO: places answer page [] []
[2016-05-30 17:26:42] my_logger.INFO: places answer page [] []
[2016-05-30 17:27:35] my_logger.INFO: home page loaded [] []
[2016-05-30 17:27:37] my_logger.INFO: places answer page [] []
[2016-05-30 17:28:05] my_logger.INFO: home page loaded [] []
[2016-05-30 17:28:08] my_logger.INFO: places answer page [] []
[2016-05-30 17:29:50] my_logger.INFO: home page loaded [] []
[2016-05-30 17:29:52] my_logger.INFO: places answer page [] []
[2016-05-30 17:30:08] my_logger.INFO: home page loaded [] []
[2016-05-30 17:30:12] my_logger.INFO: places answer page [] []
[2016-05-30 17:30:18] my_logger.INFO: places answer page [] []
[2016-05-30 17:30:28] my_logger.INFO: home page loaded [] []
[2016-05-30 17:30:31] my_logger.INFO: places answer page [] []
[2016-05-30 17:31:25] my_logger.INFO: home page loaded [] []
[2016-05-30 17:31:28] my_logger.INFO: places answer page [] []
[2016-05-30 17:33:54] my_logger.INFO: home page loaded [] []
[2016-05-30 17:33:58] my_logger.INFO: places answer page [] []
[2016-05-30 17:34:53] my_logger.INFO: home page loaded [] []
[2016-05-30 17:34:55] my_logger.INFO: places answer page [] []
[2016-05-30 17:35:18] my_logger.INFO: home page loaded [] []
